timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1657392627046,382,Login-successful,200,OK,REQRES Group 1-9,text,true,,2136,363,2,2,https://reqres.in/api/login,190,0,0
1657392627046,190,Login-successful-0,301,Moved Permanently,REQRES Group 1-9,,true,,607,240,2,2,http://reqres.in/api/login,190,0,0
1657392627237,191,Login-successful-1,200,OK,REQRES Group 1-9,text,true,,1529,123,2,2,https://reqres.in/api/login,176,0,0
1657392627375,172,Single user not found,404,Not Found,REQRES Group 1-10,text,false,,792,126,1,1,https://reqres.in/api/users/23,172,0,0
1657392627549,226,Create,201,Created,REQRES Group 1-10,text,true,,811,220,1,1,https://reqres.in/api/users,225,0,0
1657392627778,498,Register-successful,200,OK,REQRES Group 1-10,text,true,,2129,365,1,1,https://reqres.in/api/register,320,0,163
1657392627778,320,Register-successful-0,301,Moved Permanently,REQRES Group 1-10,,true,,608,239,1,1,http://reqres.in/api/register,320,0,163
1657392628098,178,Register-successful-1,200,OK,REQRES Group 1-10,text,true,,1521,126,1,1,https://reqres.in/api/register,177,0,0
1657392628277,333,Login-successful,200,OK,REQRES Group 1-10,text,true,,2128,363,1,1,https://reqres.in/api/login,161,0,0
1657392628277,161,Login-successful-0,301,Moved Permanently,REQRES Group 1-10,,true,,605,240,1,1,http://reqres.in/api/login,161,0,0
1657392628438,172,Login-successful-1,200,OK,REQRES Group 1-10,text,true,,1523,123,1,1,https://reqres.in/api/login,172,0,0
